country_code,region_name,iata,icao,airport,latitude,longitude,country
AE,Ash Shariqah,SHJ,OMSJ,Sharjah International Airport,25.32859993,55.51720047,United Arab Emirates
AE,Abu Zaby,AZI,OMAD,Al Bateen Executive Airport,24.42830086,54.45809937,United Arab Emirates
AE,Al Fujayrah,FJR,OMFJ,Fujairah International Airport,25.11219978,56.32400131,United Arab Emirates
AE,Abu Zaby,XSB,OMBY,Sir Bani Yas Airport,24.283611,52.580278,United Arab Emirates
AE,Ra's al Khaymah,RKT,OMRK,Ras Al Khaimah International Airport,25.6135006,55.93880081,United Arab Emirates
AE,Dubayy,DWC,OMDW,Al Maktoum International Airport,24.896356,55.161389,United Arab Emirates
AE,Abu Zaby,DHF,OMAM,Al Dhafra Air Base,24.24819946,54.54769897,United Arab Emirates
AE,Abu Zaby,ZDY,OMDL,Dalma Airport,24.51,52.3352,United Arab Emirates
AE,Dubayy,DCG,,Dubai Creek Seaplane Base,25.24222222,55.33138889,United Arab Emirates
AE,Abu Zaby,AYM,,Yas Island Seaplane Base,24.467,54.6103,United Arab Emirates
AE,Dubayy,DJH,,Jebel Ali Seaplane Base,24.988967,55.023796,United Arab Emirates
AE,Ra's al Khaymah,RHR,,Al Hamra Seaplane Base,25.691,55.778,United Arab Emirates
AE,Dubayy,DXB,OMDB,Dubai International Airport,25.25279999,55.36439896,United Arab Emirates
AE,Abu Zaby,AAN,OMAL,Al Ain International Airport,24.26169968,55.60919952,United Arab Emirates
AE,Dubayy,NHD,OMDM,Al Minhad Air Base,25.02680016,55.36619949,United Arab Emirates
AE,Abu Zaby,AUH,OMAA,Abu Dhabi International Airport,24.43300056,54.65110016,United Arab Emirates
AF,Farah,FAH,OAFR,Farah Airport,32.36700058,62.18299866,Afghanistan
AF,Faryab,MMZ,OAMN,Maymana Airport,35.93080139,64.7609024,Afghanistan
AF,Khost,OLR,OASL,Forward Operating Base Salerno,33.3638,69.9561,Afghanistan
AF,Badakhshan,KWH,OAHN,Khwahan Airport,37.88299942,70.21700287,Afghanistan
AF,Ghazni,SBF,OADS,Sardeh Band Airport,33.3207016,68.6364975,Afghanistan
AF,Kabul,KBL,OAKB,Hamid Karzai International Airport,34.565899,69.212303,Afghanistan
AF,Badghis,LQN,OAQN,Qala i Naw Airport,34.98500061,63.11780167,Afghanistan
AF,Badakhshan,FBD,OAFZ,Fayzabad Airport,37.121101,70.518097,Afghanistan
AF,Khost,KHT,OAKS,Khost Airfield,33.333401,69.952003,Afghanistan
AF,Badakhshan,SGA,OASN,Sheghnan Airport,37.56700134,71.5,Afghanistan
AF,Herat,HEA,OAHR,Herat International Airport,34.20999908,62.22829819,Afghanistan
AF,Ghazni,GZI,OAGN,Ghazni Airport,33.53120041,68.41290283,Afghanistan
AF,Bamyan,BIN,OABN,Bamyan Airport,34.81700134,67.81700134,Afghanistan
AF,Kandahar,KDH,OAKN,Kandahar International Airport,31.50580025,65.84780121,Afghanistan
AF,Helmand,DWR,OADY,Dwyer Airport,31.0,64,Afghanistan
